Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2027,2,4,285.9233837,269.9632399,259.383782,253.6158499,250.6646045,251.9126701,262.6105516,281.9730945,295.9699032,306.9157978,320.5048007,326.2274706,331.2806461,334.105253,333.7966663,335.4614178,336.4704888,335.4554003,338.0520506,351.6428503,354.7149927,346.5035678,330.5269988,304.9579175
2027,2,5,278.4531121,263.5299214,254.7126271,248.7325015,245.9764695,247.8297987,260.5609959,281.0949775,295.4060509,308.0038727,319.6572739,326.0405914,330.0298214,331.609505,330.4973677,327.5598194,327.2921394,328.4433689,332.2812922,345.5317813,346.8879139,337.1680337,322.7632833,299.5267767
2027,2,6,277.8597144,261.980581,251.9194797,245.5377372,241.9192888,242.2244847,250.228001,263.852098,280.8372563,298.728551,310.6501603,314.4375638,317.2983332,318.7514611,318.3474545,319.8938858,322.9883035,325.7714526,328.7730302,342.9457018,344.3465227,332.5249861,317.9783261,296.0958434
2027,2,7,276.6636187,260.8710788,250.4871677,243.9319196,240.5610414,239.9374186,243.5639276,250.1107571,258.949965,276.9539512,292.3576348,299.7675208,302.5688139,304.1642726,307.7615384,311.8818065,316.9496205,313.8467869,312.2105329,324.4617741,330.5584416,322.8545185,313.6270422,289.5016581
2027,2,8,267.0018284,253.7287405,243.7974418,237.9011274,235.9988829,237.6527181,250.7527367,269.7500417,282.496727,296.0127035,307.9976139,314.4352225,320.28576,319.3721767,321.8118412,325.2301033,330.4036944,333.747121,334.0348846,349.8279698,358.3568774,349.5924804,332.7234053,304.5615061
2027,2,9,279.7560184,264.0701398,253.8953644,247.2189935,244.6194558,246.1010503,259.0293581,279.8021386,293.7170456,303.7591578,314.3059868,317.6662967,321.1923813,322.3530827,325.2973038,329.3592088,333.4557379,334.2494197,335.0050367,350.7870367,354.4632959,346.1541275,331.0650434,303.7849488
2027,2,10,280.9570992,266.4861299,256.6829309,249.9792385,248.9042139,251.1093461,260.6607047,279.1024201,295.9441334,310.5679732,319.3045827,323.8658543,326.0522501,329.7916896,331.2298662,331.2124323,332.5675333,335.1469298,339.9413633,354.5873112,356.6849139,348.1159682,334.7400275,311.8599017
2027,2,11,288.333556,270.3074542,261.0347701,253.2410773,251.14579,253.2994352,266.4866595,288.4156725,303.1642654,312.5657291,324.2168094,326.9673136,330.403568,333.0566172,333.7111808,332.2894242,332.5344543,333.9979641,334.2639429,350.5876572,357.4385767,349.1148202,332.8447009,299.1455589
2027,2,12,275.4669716,257.4630305,247.9431799,243.1854521,241.428391,243.627001,256.1692271,278.165997,295.6308651,308.9155445,317.6696831,324.8934926,329.7829858,331.3318435,331.9449249,336.3337583,342.6556795,348.980832,349.6828392,360.6201418,366.7209402,355.921014,342.4438414,318.2183883
2027,2,13,292.9452654,276.0554087,264.3431915,257.0443357,252.7749911,253.2889757,258.9558437,270.1005037,287.3576718,307.7227994,323.7658979,329.9080621,332.9368991,336.8333822,338.2464722,342.3561564,344.5725505,350.756309,351.9289049,360.1574323,362.7362138,351.6832702,336.3285421,315.829961
2027,2,14,290.5683971,274.8310551,263.6934268,256.2728482,252.3231179,251.4875008,254.0094979,260.2251027,270.1045628,288.1616536,302.4643734,311.0705257,314.9686585,318.7818872,322.8214447,325.8026355,331.4363653,338.6839951,338.5828558,348.5243409,354.5813828,348.2489178,335.2408626,312.1300798
2027,2,15,287.9852492,272.1249694,260.9337028,253.9983867,250.0110696,252.45782,263.2324733,281.4503717,292.1070263,305.2173706,320.5029353,333.2908712,341.5000985,346.0170735,348.2889473,355.4340485,361.9548519,367.9368315,360.3152556,368.3325902,373.4352308,364.2883188,353.0995917,325.4293666
2027,2,16,296.7850586,279.3159411,266.8754994,259.6689793,255.7072553,256.054618,267.1990838,285.54567,299.1029042,314.4097018,330.6839039,341.2626354,350.4350997,355.6664598,361.7550709,368.9082748,376.3719144,381.3019842,380.7822427,387.5080766,391.7527802,380.5522181,363.6688857,334.6106505
2027,2,17,304.5304596,285.7064475,274.2145363,267.6120613,264.1892184,264.3105557,276.7875245,294.7587859,308.7080987,321.4475022,332.2750979,336.9109235,344.6591024,349.0375496,354.5048833,360.9073094,366.1987956,374.5261196,375.5710311,384.2601777,390.1603259,380.3778984,364.4360611,336.8755874
